posts,language,query,time
6400,SQL with joins,one blogpost,0.024065600000085396
6400,SQL Materialized View,one blogpost,0.001978399999643443
6400,SQL without joins,one blogpost,0.0014219999998204003
6400,SQL without joins,one blogpost,0.010146000000077038
6400,SQL without joins,one blogpost,0.003021200000148383
6400,MongoDB,one blogpost,4.960000023856992e-05
6400,SQL,by tag,0.005115100000239181
6400,SQL Materialized View,by tag,0.0017727999997987354
6400,MongoDB,by tag,5.020000025979243e-05
6400,SQL,by tag,0.0037238999998407962
6400,SQL Materialized View,by tag,0.0019609000000855303
6400,MongoDB,by tag,5.020000025979243e-05
6400,SQL,by tag,0.0037878000002820045
6400,SQL Materialized View,by tag,0.0022256000002016663
6400,MongoDB,by tag,4.9199999921256676e-05
6400,SQL,by tag,0.004232300000239775
6400,SQL Materialized View,by tag,0.002458699999806413
6400,MongoDB,by tag,5.1699999858101364e-05
6400,SQL,by tag,0.0052664999998341955
6400,SQL Materialized View,by tag,0.002694599999813363
6400,MongoDB,by tag,5.239999973127851e-05
6400,SQL,by comment author,0.008958699999766395
6400,SQL with Index,by comment author,0.00337149999995745
6400,MongoDB,by comment author,4.910000006930204e-05
6400,SQL,by comment author,0.009009100000184844
6400,SQL with Index,by comment author,0.0017182000001412234
6400,MongoDB,by comment author,5.3700000080425525e-05
6400,SQL,by comment author,0.009090099999866652
6400,SQL with Index,by comment author,0.0020104000000173983
6400,MongoDB,by comment author,5.4399999953602673e-05
6400,SQL,by comment author,0.016313399999944522
6400,SQL with Index,by comment author,0.0017794999998841377
6400,MongoDB,by comment author,5.509999982677982e-05
6400,SQL,by comment author,0.009393400000135443
6400,SQL with Index,by comment author,0.0018111999997927342
6400,MongoDB,by comment author,5.109999983687885e-05
